date, pm25, pm10, o3, no2, so2, co
2022/1/3, 149, 101, 6, 5, 15, 11
2022/1/4, 167, 96, 6, 3, 15, 9
2022/1/5, 155, 80, 6, 3, 21, 6
2022/1/6, 136, 89, 6, 3, 20, 7
2022/1/7, 141, 59, 6, 3, 19, 4
2022/1/8, 96, 50, 7, 2, 22, 4
2022/1/9, 71, 58, 7, 3, 15, 5
2022/1/10, 85, 78, 6, 4, , 7
2022/1/11, 129, 70, 6, 4, 2, 6
2022/1/12, 115, , , , , 
2022/1/14, 158, 85, 7, 3, 9, 7
2022/1/15, 154, 83, 6, 4, 9, 8
2022/1/16, 150, 93, 6, 4, 8, 8
2022/1/17, 158, , , , , 
2021/10/1, 93, 47, 6, 2, 9, 9
2021/10/2, 80, 63, 6, 2, 13, 12
2021/10/3, 101, 50, 6, 3, 22, 20
2021/10/4, 107, 47, 6, 3, 34, 24
2021/10/5, 89, 96, 6, 2, 23, 17
2021/10/6, 173, 39, 6, 2, 1, 19
2021/10/7, 96, 21, 6, 2, , 8
2021/10/8, 62, 42, 6, 2, 2, 8
2021/10/9, 94, 31, 6, 2, 11, 9
2021/10/10, 43, 50, 6, 2, 11, 9
2021/10/11, 82, 54, 6, 2, 7, 6
2021/10/12, 98, 64, 6, 2, 5, 7
2021/10/13, 120, 125, 6, 3, 4, 9
2021/10/14, 185, 95, 6, 3, 2, 9
2021/10/15, 149, 83, 6, 3, , 7
2021/10/16, 136, 98, 6, 3, 1, 8
2021/10/17, 146, 65, 6, 2, , 5
2021/10/18, 85, 58, 6, 2, , 5
2021/10/19, 84, 330, 6, 3, , 6
2021/10/20, 90, , 6, 3, , 7
2021/10/21, 125, , 6, 4, , 9
2021/10/22, 146, , 6, 2, , 6
2021/10/23, 95, , 6, 2, , 5
2021/10/24, 48, 45, 7, 2, , 5
2021/10/25, 84, 72, 6, 3, 3, 10
2021/10/26, 140, 79, 6, 3, 4, 12
2021/10/27, 140, 82, 6, 3, 7, 19
2021/10/28, 155, 83, 6, 4, 8, 19
2021/10/29, 164, 193, 6, 4, 9, 11
2021/10/30, 167, 93, 6, 4, 9, 10
2021/10/31, 157, 123, 6, 4, 8, 11
2021/11/1, 184, 130, 6, 4, 14, 23
2021/11/2, 199, 204, 6, 5, 18, 19
2021/11/3, 189, 87, 6, 4, 12, 21
2021/11/4, 171, 87, 6, 4, , 13
2021/11/5, 151, 51, 6, 3, , 8
2021/11/6, 94, 65, 6, 3, 1, 10
2021/11/7, 119, 114, 6, 3, 27, 23
2021/11/8, 185, 124, 6, 3, 31, 23
2021/11/9, 193, 104, 6, 4, 28, 14
2021/11/10, 177, 202, 6, 5, 24, 16
2021/11/11, 167, 118, 6, 4, 32, 22
