Date,fuel_consumed
01-04-1996,2.19E+12
01-07-1996,2.23E+12
01-10-1996,2.27E+12
01-01-1997,2.31E+12
01-04-1997,2.34E+12
01-07-1997,2.42E+12
01-10-1997,2.47E+12
01-01-1998,2.56E+12
01-04-1998,2.67E+12
01-07-1998,2.94E+12
01-10-1998,2.83E+12
01-01-1999,2.94E+12
01-04-1999,3.02E+12
01-07-1999,3.09E+12
01-10-1999,3.38E+12
01-01-2000,3.23E+12
01-04-2000,3.29E+12
01-07-2000,3.36E+12
01-10-2000,3.44E+12
01-01-2001,3.50E+12
01-04-2001,3.61E+12
01-07-2001,3.69E+12
01-10-2001,3.77E+12
01-01-2002,3.82E+12
01-04-2002,3.83E+12
01-07-2002,3.89E+12
01-10-2002,3.96E+12
01-01-2003,4.06E+12
01-04-2003,4.18E+12
01-07-2003,4.26E+12
01-10-2003,4.36E+12
01-01-2004,4.44E+12
01-04-2004,4.43E+12
01-07-2004,4.55E+12
01-10-2004,4.73E+12
01-01-2005,4.87E+12
01-04-2005,5.00E+12
01-07-2005,5.08E+12
01-10-2005,5.31E+12
01-01-2006,5.47E+12
01-04-2006,5.67E+12
01-07-2006,5.95E+12
01-10-2006,6.08E+12
01-01-2007,6.30E+12
01-04-2007,6.53E+12
01-07-2007,6.77E+12
01-10-2007,7.00E+12
01-01-2008,7.24E+12
01-04-2008,7.53E+12
01-07-2008,7.77E+12
01-10-2008,8.04E+12
01-01-2009,8.15E+12
01-04-2009,8.39E+12
01-07-2009,8.80E+12
01-10-2009,9.26E+12
01-01-2010,9.48E+12
01-04-2010,1.00E+13
01-07-2010,1.05E+13
01-10-2010,1.06E+13
01-01-2011,1.11E+13
01-04-2011,1.23E+13
01-07-2011,1.17E+13
01-10-2011,1.22E+13
01-01-2012,1.29E+13
01-04-2012,1.33E+13
01-07-2012,1.38E+13
01-10-2012,1.44E+13
01-01-2013,1.47E+13
01-04-2013,1.52E+13
01-07-2013,1.57E+13
01-10-2013,1.68E+13
01-01-2014,1.70E+13
01-04-2014,1.76E+13
01-07-2014,1.81E+13
01-10-2014,1.79E+13
01-01-2015,1.88E+13
01-04-2015,1.96E+13
01-07-2015,1.99E+13
01-10-2015,2.04E+13
01-01-2016,2.14E+13
01-04-2016,2.17E+13
01-07-2016,2.27E+13
01-10-2016,2.33E+13
01-01-2017,2.35E+13
01-04-2017,2.41E+13
01-07-2017,2.45E+13
01-10-2017,2.54E+13
01-01-2018,2.63E+13
01-04-2018,2.70E+13
01-07-2018,2.79E+13
01-10-2018,2.84E+13
01-01-2019,2.89E+13
01-04-2019,3.00E+13
01-07-2019,3.06E+13
01-10-2019,3.15E+13
01-01-2020,3.10E+13
01-04-2020,2.26E+13
01-07-2020,2.83E+13
01-10-2020,3.19E+13
01-01-2021,3.30E+13
01-04-2021,2.92E+13
01-07-2021,3.32E+13
