Location,Dangerous or Careless Driving/ Over-taking/etc. - Cases,Dangerous or Careless Driving/ Over-taking/etc. - Injured,Dangerous or Careless Driving/ Over-taking/etc. - Died,Over Speeding - Cases,Over Speeding - Injured,Over Speeding - Died,Driving under Influence of Drug/Alcohol - Cases,Driving under Influence of Drug/Alcohol - Injured,Driving under Influence of Drug/Alcohol - Died,Physical Fatigue of Drivers - Cases,Physical Fatigue of Drivers - Injured,Physical Fatigue of Drivers - Died,Defect in Mechanical Condition of Motor Vehicle - Cases,Defect in Mechanical Condition of Motor Vehicle - Injured,Defect in Mechanical Condition of Motor Vehicle - Died,Animal Crossing - Cases,Animal Crossing - Injured,Animal Crossing - Died,Weather Condition (Total) - Cases,Weather Condition (Total) - Injured,Weather Condition (Total) - Died,Weather Condition (Poor Visibility) - Cases,Weather Condition (Poor Visibility) - Injured,Weather Condition (Poor Visibility) - Died,Weather Condition (Others Causes - Cases,Weather Condition (Others Causes - Injured,Weather Condition (Others Causes - Died,Lack of Road Infrastructure - Cases,Lack of Road Infrastructure - Injured,Lack of Road Infrastructure - Died,Vehicles Parking at Road Shoulders - Cases,Vehicles Parking at Road Shoulders - Injured,Vehicles Parking at Road Shoulders - Died,Causes Not Known - Cases,Causes Not Known - Injured,Causes Not Known - Died,Other Causes - Cases,Other Causes - Injured,Other Causes - Died,Total Road Accidents - Cases,Total Road Accidents - Injured,Total Road Accidents - Died,Unmanned Railway Crossing Accidents - Cases,Unmanned Railway Crossing Accidents - Injured,Unmanned Railway Crossing Accidents - Died,Grand Total - Cases,Grand Total - Injured,Grand Total - Died
Agra,135,13,135,81,5,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,18,216,0,0,0,216,18,216
Ahmedabad,0,0,0,1181,786,336,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1185,786,340,0,0,0,1185,786,340
Allahabad,15,7,8,13,7,6,9,5,4,12,10,2,10,7,3,16,10,6,48,37,11,22,19,3,26,18,8,15,11,4,19,15,4,15,11,5,49,47,7,221,167,60,0,0,0,221,167,60
Amritsar,2,0,2,55,30,37,1,1,0,0,0,0,41,28,26,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,59,66,0,0,0,100,59,66
Asansol,258,131,189,153,87,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,28,12,0,0,0,427,246,314,0,0,0,427,246,314
Aurangabad,0,0,0,372,258,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,258,163,0,0,0,372,258,163
Bengaluru,213,88,39,2993,2650,596,27,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3233,2751,646,0,0,0,3233,2751,646
Bhopal,1061,874,57,139,133,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,15,0,0,0,0,131,57,5,240,148,15,1590,1227,93,0,0,0,1590,1227,93
Chandigarh (City),10,9,2,132,130,49,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,1,157,148,53,0,0,0,157,148,53
Chennai,589,461,176,1126,895,265,589,726,236,257,334,29,237,417,52,128,427,27,194,334,21,115,167,11,79,167,10,428,377,19,187,107,7,365,112,16,289,73,24,4389,4263,872,0,0,0,4389,4263,872
Coimbatore,181,199,7,516,514,58,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,707,722,65,0,0,0,707,722,65
Delhi (City),1729,1527,430,1493,1100,505,71,74,15,6,4,1,6,6,0,21,24,2,97,87,25,66,60,19,31,27,6,29,32,1,27,27,3,130,75,62,419,350,107,4028,3306,1151,0,0,0,4028,3306,1151
Dhanbad,65,27,32,71,65,47,0,0,0,0,0,0,22,4,3,0,0,0,6,2,1,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,98,83,0,0,0,164,98,83
